Африк	Afrique
Ангилал:Ямайкын хөлбөмбөгчид	Catégorie:Footballeur jamaïcain
Ангилал:Чехословакийн хөлбөмбөгчид	Catégorie:Footballeur tchécoslovaque
Ангилал:Чилийн хөлбөмбөгчид	Catégorie:Footballeur chilien
Ангилал:Коста Рикагийн хөлбөмбөгчид	Catégorie:Footballeur costaricien
Ангилал:Бүгд Найрамдах Конго Улсын хөлбөмбөгчид	Catégorie:Footballeur congolais (RC)
Ангилал:Перугийн хөлбөмбөгчид	Catégorie:Footballeur péruvien
Ангилал:Францын хөлбөмбөгчид	Catégorie:Footballeur français
Ангилал:Италийн аялагчид	Catégorie:Explorateur italien
Ангилал:Германы туялзуур сэлэмчид	Catégorie:Escrimeur allemand
Ангилал:Австрийн уран гулгагчид	Catégorie:Patineur artistique autrichien
Ангилал:Италийн уран гулгагчид	Catégorie:Patineur artistique italien
Ангилал:Германы биологичид	Catégorie:Biologiste allemand
Ангилал:Теоремууд	Catégorie:Théorème
Ангилал:Оросын зураачид	Catégorie:Peintre russe
Ангилал:Шведийн химичид	Catégorie:Chimiste suédois
Ангилал:Шотландын химичид	Catégorie:Chimiste écossais
Ангилал:Их Британийн химичид	Catégorie:Chimiste britannique
Ангилал:Шиньжянгийн нуур	Catégorie:Lac au Xinjiang
Ангилал:Умар Америк тивийн нуур	Catégorie:Lac d'Amérique du Nord
Ангилал:Япон орны нуур	Catégorie:Lac du Japon
Ангилал:Никарагуагийн нуурууд	Catégorie:Lac du Nicaragua
Ангилал:Монгол орны нуур	Catégorie:Lac de Mongolie
Ангилал:Оросын нуур	Catégorie:Lac de Russie
Ангилал:Унгарын нуурууд	Catégorie:Lac de Hongrie
Ангилал:Эртний Грекийн одон оронч	Catégorie:Astronome de la Grèce antique
Ангилал:Оптик төхөөрөмжүүд	Catégorie:Instrument optique
Ангилал:Унгарын эрдэмтэд	Catégorie:Scientifique hongrois
Ангилал:Геофизик	Catégorie:Géophysique
Ангилал:Унгарын математикчид	Catégorie:Mathématicien hongrois
Ангилал:1924 онд нас барагсад	Catégorie:Décès en 1924
Ангилал:1960 онд нас барагсад	Catégorie:Décès en 1960
Ангилал:1981 онд нас барагсад	Catégorie:Décès en 1981
Ангилал:Италийн инженерүүд	Catégorie:Ingénieur italien
Ангилал:1999 онд нас барагсад	Catégorie:Décès en 1999
Ангилал:Италийн зохион бүтээгчид	Catégorie:Inventeur italien
Ангилал:Химийн элементүүд	Catégorie:Élément chimique
Ангилал:Их Британийн хөнгөн атлетикчид	Catégorie:Athlète britannique
Ангилал:Хөнгөн атлетикчид	Catégorie:Athlète
Ангилал:АНУ-ын гольфчид	Catégorie:Golfeur américain
Ангилал:Гольфчид	Catégorie:Golfeur
Ангилал:Анатомичид	Catégorie:Anatomiste
Ангилал:Япон улсын улс төрч	Catégorie:Personnalité politique japonaise
Ангилал:Өмнөд Солонгосын улс төрчид	Catégorie:Personnalité politique sud-coréenne
Ангилал:Египетийн улс төрчид	Catégorie:Personnalité politique égyptienne
Ангилал:Гайтигийн улс төрчид	Catégorie:Personnalité politique haïtienne
Ангилал:Японы тамирчид	Catégorie:Sportif japonais
Ангилал:Монголын тамирчид	Catégorie:Sportif mongol
Ангилал:Аргентины тамирчид	Catégorie:Sportif argentin
Ангилал:Австралийн тамирчин	Catégorie:Sportif australien
Ангилал:Их Британийн тамирчид	Catégorie:Sportif britannique
Ангилал:Италийн тамирчид	Catégorie:Sportif italien
Ангилал:Өмнөд Солонгосын тамирчид	Catégorie:Personnalité sud-coréenne du sport
Ангилал:Беларусийн тамирчид	Catégorie:Sportif biélorusse
Ангилал:Өмнөд Африкийн тамирчид	Catégorie:Sportif sud-africain
Ангилал:Польшийн тамирчид	Catégorie:Sportif polonais
Ангилал:Канадын тамирчид	Catégorie:Sportif canadien
Ангилал:Буудлагын тамирчид	Catégorie:Tireur sportif
Ангилал:Олимпийн хүрэл медальтнууд	Catégorie:Médaillé de bronze aux Jeux olympiques
Ангилал:Олимпийн мөнгөн медальтнууд	Catégorie:Médaillé d'argent aux Jeux olympiques
Ангилал:Тайландын олимпийн аваргууд	Catégorie:Champion olympique thaïlandais
Ангилал:АНУ-ын дугуйчид	Catégorie:Coureur cycliste américain
Ангилал:Английн дуучид	Catégorie:Chanteur anglais
Ангилал:Нидерландын эрдэмтэд	Catégorie:Scientifique néerlandais
Ангилал:АНУ-ын бизнесмэнүүд	Catégorie:Personnalité américaine du monde des affaires
Ангилал:Францын сагсан бөмбөгчид	Catégorie:Joueur français de basket-ball
Ангилал:Сагсан бөмбөгчид	Catégorie:Joueur de basket-ball
Ангилал:Их Британийн зохион бүтээгчид	Catégorie:Inventeur britannique
Ангилал:Английн философичид	Catégorie:Philosophe anglais
Ангилал:Оросын философичид	Catégorie:Philosophe russe
Ангилал:Францын философичид	Catégorie:Philosophe français
Ангилал:Генетикчид	Catégorie:Généticien
Ангилал:Туялзуур сэлэмчид	Catégorie:Escrimeur
Ангилал:АНУ-ын физикчид	Catégorie:Physicien américain
Ангилал:Английн физикчид	Catégorie:Physicien anglais
Ангилал:Японы хөлбөмбөгчид	Catégorie:Footballeur japonais
Ангилал:Туркийн хөлбөмбөгчид	Catégorie:Footballeur turc
Ангилал:Парагвайн хөлбөмбөгчид	Catégorie:Footballeur paraguayen
Ангилал:Швейцарийн хөлбөмбөгчид	Catégorie:Footballeur suisse
Ангилал:Испанийн хөлбөмбөгчид	Catégorie:Footballeur espagnol
Ангилал:Унгарын хөлбөмбөгчид	Catégorie:Footballeur hongrois
Ангилал:Чехийн хөлбөмбөгчид	Catégorie:Footballeur tchèque
Ангилал:Сербийн хөлбөмбөгчид	Catégorie:Footballeur serbe
Ангилал:Италийн хөлбөмбөгчид	Catégorie:Footballeur italien
Ангилал:Данийн хөлбөмбөгчид	Catégorie:Footballeur danois
Ангилал:Уэльсийн хөлбөмбөгчид	Catégorie:Footballeur gallois
Ангилал:Ирландын хөлбөмбөгчид	Catégorie:Footballeur irlandais
Ангилал:Колумбын хөлбөмбөгчид	Catégorie:Footballeur colombien
Ангилал:Хорватын хөлбөмбөгчид	Catégorie:Footballeur croate
Ангилал:Португалын хөлбөмбөгчид	Catégorie:Footballeur portugais
Ангилал:2004 оны Зуны олимпийн наадмын хөлбөмбөгчид	Catégorie:Footballeur aux Jeux olympiques d'été de 2004
Ангилал:2000 оны Зуны олимпийн наадмын хөлбөмбөгчид	Catégorie:Footballeur aux Jeux olympiques d'été de 2000
Ангилал:Боксчид	Catégorie:Boxeur
Загвар:Cycling archives	Modèle:Siteducyclisme
Ангилал:Кувейтын улс төрчид	Catégorie:Personnalité politique koweitienne
Ангилал:Кенийн боксчид	Catégorie:Boxeur kényan
Ангилал:Хүндийг өргөгчид	Catégorie:Haltérophile
Ангилал:Их Британийн жүдочид	Catégorie:Judoka britannique
Ангилал:Хятадын дуучин	Catégorie:Chanteur chinois
Ангилал:Норвегийн дуучид	Catégorie:Chanteur norvégien
Ангилал:Оросын дуучид	Catégorie:Chanteur russe
Ангилал:Өмнөд Солонгосын дуучид	Catégorie:Chanteur sud-coréen
Ангилал:Английн эрдэмтэд	Catégorie:Scientifique anglais
Ангилал:Эрдэмтэд	Catégorie:Scientifique
Ангилал:АНУ-ын усанд сэлэгчид	Catégorie:Nageur américain
Ангилал:Усанд сэлэгчид	Catégorie:Nageur
Ангилал:Аялагч	Catégorie:Explorateur
Ангилал:Уран гулгагчид	Catégorie:Patineur artistique
Ангилал:Беларусийн зохиолчид	Catégorie:Écrivain biélorusse
Ангилал:Алхимичид	Catégorie:Alchimiste
Ангилал:Энэтхэгийн эдийн засагчид	Catégorie:Économiste indien
Ангилал:Германы авто уралдаанчид	Catégorie:Pilote automobile allemand
Ангилал:Тайландын өдөн бөмбөгчид	Catégorie:Joueur thaïlandais de badminton
Ангилал:Австралийн жүжигчин	Catégorie:Acteur australien
Ангилал:Уэльсийн жүжигчид	Catégorie:Acteur gallois
Ангилал:Хийсвэрлэл	Catégorie:Abstraction
Ангилал:Японы ерөнхий сайдууд	Catégorie:Premier ministre du Japon
Ангилал:Францын ерөнхий сайд нар	Catégorie:Premier ministre de France
Ангилал:Австралийн ерөнхий сайд нар	Catégorie:Premier ministre d'Australie
Ангилал:Вьетнамын ерөнхий сайд нар	Catégorie:Premier ministre du Viêt Nam
Ангилал:Тайландын ерөнхий сайд нар	Catégorie:Premier ministre de Thaïlande
Ангилал:Бельгийн ерөнхий сайд нар	Catégorie:Premier ministre de Belgique
Ангилал:Христийн шашны урсгалууд	Catégorie:Communauté ecclésiale chrétienne
Ангилал:Нобелийн шагнал	Catégorie:Prix Nobel
Ангилал:Португалын яруу найрагчид	Catégorie:Poète portugais
Ангилал:Хөлбөмбөг улсуудад	Catégorie:Football par pays
Ангилал:Маршаллын арлуудын газарзүй	Catégorie:Géographie des îles Marshall
Ангилал:Афганистаны газарзүй	Catégorie:Géographie de l'Afghanistan
Ангилал:Этиопын газарзүй	Catégorie:Géographie de l'Éthiopie
Ангилал:Пакистаны газарзүй	Catégorie:Géographie du Pakistan
Ангилал:Францын газарзүй	Catégorie:Géographie de la France
Ангилал:Хойд Солонгос	Catégorie:Corée du Nord
Ангилал:Гүрж	Catégorie:Géorgie
Ангилал:Камбож	Catégorie:Cambodge
Загвар:User als-2	Modèle:Utilisateur als-2
Загвар:User als-4	Modèle:Utilisateur als-4
Загвар:User als-0	Modèle:Utilisateur als-0
Ангилал:Гайаны хүн	Catégorie:Personnalité guyanienne
Ангилал:Өмнөд Африкчууд	Catégorie:Personnalité sud-africaine
Ангилал:Барбадосын хүн	Catégorie:Personnalité barbadienne
Ангилал:Ботсваны хүн	Catégorie:Personnalité botswanaise
Ангилал:Бутаны хүн	Catégorie:Personnalité bhoutanaise
Ангилал:Сербийн хүн	Catégorie:Personnalité serbe
Ангилал:Сомаличууд	Catégorie:Personnalité somalienne
Ангилал:Австралийн хүн	Catégorie:Personnalité australienne
Ангилал:Замбийн хүн	Catégorie:Personnalité zambienne
Ангилал:Хятадууд	Catégorie:Personnalité chinoise
Ангилал:Зимбабвийн хүн	Catégorie:Personnalité zimbabwéenne
Ангилал:Камеруны хүн	Catégorie:Personnalité camerounaise
Ангилал:Португалчууд	Catégorie:Personnalité portugaise
Ангилал:Түрэг	Catégorie:Peuple turc
Ангилал:Америкийн дуучид	Catégorie:Chanteur américain
Ангилал:Украйны дуучин	Catégorie:Chanteur ukrainien
Ангилал:Османы эзэнт гүрний султанууд	Catégorie:Empereur ottoman
Ангилал:Германы жүжгийн зохиолчид	Catégorie:Dramaturge allemand
Ангилал:Германы сагсан бөмбөгчид	Catégorie:Joueur allemand de basket-ball
Ангилал:Аргентины сагсан бөмбөгчид	Catégorie:Joueur argentin de basket-ball
Ангилал:Өмнөд Солонгосын волейболчид	Catégorie:Joueur sud-coréen de volley-ball
Ангилал:Хятадын өдөн бөмбөгчид	Catégorie:Joueur chinois de badminton
Ангилал:Өмнөд Солонгосын жүжигчид	Catégorie:Acteur sud-coréen
Ангилал:Америкийн биологичид	Catégorie:Biologiste américain
Ангилал:Их Британийн биологичид	Catégorie:Biologiste britannique
Ангилал:Японы усанд сэлэгчид	Catégorie:Nageur japonais
Ангилал:Ганын тамирчид	Catégorie:Sportif ghanéen
Ангилал:Японы тэшүүрчид	Catégorie:Patineur de vitesse japonais
Ангилал:Германы яруу найрагчид	Catégorie:Poète allemand
Ангилал:Британийн яруу найрагчид	Catégorie:Poète britannique
Ангилал:Украйны яруу найрагчид	Catégorie:Poète ukrainien
Ангилал:Энэтхэгийн яруу найрагчид	Catégorie:Poète indien
Ангилал:Английн биологичид	Catégorie:Biologiste anglais
Ангилал:Швейцарийн биологичид	Catégorie:Biologiste suisse
Ангилал:Швейцарийн эрдэмтэд	Catégorie:Scientifique suisse
Ангилал:Америкийн генетикчид	Catégorie:Généticien américain
Ангилал:Зүүн Германы хөнгөн атлетикчид	Catégorie:Athlète est-allemand
Ангилал:Шведийн хөнгөн атлетикчид	Catégorie:Athlète suédois
Ангилал:Чехийн хөнгөн атлетикчид	Catégorie:Athlète tchèque
Ангилал:Кубын хөнгөн атлетикчид	Catégorie:Athlète cubain
Ангилал:Францын хөнгөн атлетикчид	Catégorie:Athlète français
Ангилал:Өмнөд Африкийн зохиолчид	Catégorie:Écrivain sud-africain
Ангилал:ЗХУ-ын зохиолчид	Catégorie:Écrivain soviétique
Ангилал:Азербайжаны зохиолчид	Catégorie:Écrivain azéri
Ангилал:Гүржийн зохиолчид	Catégorie:Écrivain géorgien
Ангилал:Персийн зохиолчид	Catégorie:Écrivain de langue persane
Ангилал:Гайанагийн улс төрчид	Catégorie:Personnalité politique guyanienne
Ангилал:Никарагуагийн улс төрчид	Catégorie:Personnalité politique nicaraguayenne
Ангилал:Либерийн улс төрчид	Catégorie:Personnalité politique libérienne
Ангилал:Литвын улс төрчид	Catégorie:Personnalité politique lituanienne
Ангилал:Вьетнамын улс төрчид	Catégorie:Personnalité politique vietnamienne
Ангилал:Угандагийн улс төрчид	Catégorie:Personnalité politique ougandaise
Ангилал:Украйны улс төрчид	Catégorie:Personnalité politique ukrainienne
Ангилал:Замбийн улс төрчид	Catégorie:Personnalité politique zambienne
Ангилал:Колумбын улс төрчид	Catégorie:Personnalité politique colombienne
Ангилал:Ганын хөлбөмбөгчид	Catégorie:Footballeur ghanéen
Ангилал:1933 онд өнгөрсөн	Catégorie:Décès en 1933
Ангилал:1961 онд нас барагсад	Catégorie:Décès en 1961
Ангилал:Вануату	Catégorie:Vanuatu
Загвар:Country data Burkina Faso	Modèle:Country data Burkina Faso
Ангилал:Азербайжаны спорт	Catégorie:Sport en Azerbaïdjan
Ангилал:Азербайжаны газар зүй	Catégorie:Géographie de l'Azerbaïdjan
Ангилал:Иракийн газарзүй	Catégorie:Géographie de l'Irak
Загвар:Country data Central African Republic	Modèle:Country data République centrafricaine
Ангилал:Хөлбөмбөг Японд	Catégorie:Football au Japon
Ангилал:Солонгосын газарзүй	Catégorie:Géographie de la Corée
Ангилал:Люксембургийн хүн	Catégorie:Personnalité luxembourgeoise
Ангилал:Тажикийн хүн	Catégorie:Personnalité tadjike
Ангилал:Ямайка	Catégorie:Jamaïque
Загвар:Lang-hy	Modèle:Lang-hy
Ангилал:Хорватын цэргийн зүтгэлтнүүд	Catégorie:Militaire croate
Ангилал:Бутаны хаад	Catégorie:Roi du Bhoutan
Ангилал:Норвегийн жүжгийн зохиолчид	Catégorie:Dramaturge norvégien
Ангилал:Францын жүжгийн зохиолчид	Catégorie:Dramaturge français
Ангилал:АНУ-ын волейболчид	Catégorie:Joueur américain de volley-ball
Ангилал:Зөвлөлтийн жүжигчид	Catégorie:Acteur soviétique
Ангилал:Ганын хотууд	Catégorie:Ville du Ghana
Ангилал:Английн математикчид	Catégorie:Mathématicien britannique
Ангилал:ЗХУ-ын тэшүүрчид	Catégorie:Patineur de vitesse soviétique
Ангилал:Сэтгүүлчид	Catégorie:Journaliste
Ангилал:Чилийн дипломатч	Catégorie:Diplomate chilien
Ангилал:Японы жүдочин	Catégorie:Judoka japonais
Ангилал:Австралийн хөнгөн атлетикчид	Catégorie:Athlète australien
Ангилал:Финландын авто уралдаанчид	Catégorie:Pilote automobile finlandais
Ангилал:Колумбын зохиолчид	Catégorie:Écrivain colombien
Ангилал:Шинэ Зеландын улс төрчид	Catégorie:Personnalité politique néo-zélandaise
Ангилал:Монгол Улсын улс төрчид	Catégorie:Personnalité politique mongole
Ангилал:Бразилын улс төрчид	Catégorie:Personnalité politique brésilienne
Ангилал:Сент-Киттс ба Невисийн улс төрчид	Catégorie:Personnalité politique kittittienne
Ангилал:Шведийн улс төрчид	Catégorie:Personnalité politique suédoise
Ангилал:Аргентины улс төрчид	Catégorie:Personnalité politique argentine
Ангилал:Эстоны улс төрчид	Catégorie:Personnalité politique estonienne
Ангилал:Узбекийн улс төрч	Catégorie:Personnalité politique ouzbèke
Ангилал:Индонезийн улс төрчид	Catégorie:Personnalité politique indonésienne
Ангилал:Чехийн улс төрчид	Catégorie:Personnalité politique tchèque
Ангилал:Камбожийн улс төрч	Catégorie:Personnalité politique cambodgienne
Ангилал:Грекийн хөлбөмбөгчид	Catégorie:Footballeur grec
Ангилал:Өмнөд Африкийн хөлбөмбөгчид	Catégorie:Footballeur sud-africain
Ангилал:Зүүн Германы хөлбөмбөгчид	Catégorie:Footballeur est-allemand
Ангилал:Литвын хөлбөмбөгчид	Catégorie:Footballeur lituanien
Ангилал:Македоны хөлбөмбөгчид	Catégorie:Footballeur macédonien
Ангилал:Сенегалын хөлбөмбөгчин	Catégorie:Footballeur sénégalais
Ангилал:ЗХУ-ын хөлбөмбөгчид	Catégorie:Footballeur soviétique
Ангилал:Исландын хөлбөмбөгчид	Catégorie:Footballeur islandais
Ангилал:Израилийн хөлбөмбөгчид	Catégorie:Footballeur israélien
Ангилал:Камеруны хөлбөмбөгчид	Catégorie:Footballeur camerounais
Ангилал:Норвегийн цаначид	Catégorie:Fondeur norvégien
Ангилал:Их Британийн уран гулгагчид	Catégorie:Patineur artistique britannique
Ангилал:МЭӨ 323 онд нас барагсад	Catégorie:Décès en 323 av. J.-C.
Ангилал:МЭӨ 479 онд нас барагсад	Catégorie:Décès en 479 av. J.-C.
Ангилал:Катар	Catégorie:Qatar
Ангилал:Кыргызстан	Catégorie:Kirghizistan
Ангилал:Солонгос	Catégorie:Corée
Ангилал:Кувейт	Catégorie:Koweït
Ангилал:Лаос	Catégorie:Laos
Ангилал:Ливан	Catégorie:Liban
Ангилал:Мьянмар	Catégorie:Birmanie
Ангилал:Балба	Catégorie:Népal
Ангилал:Оман	Catégorie:Oman
Ангилал:Ховордоогүй зүйлүүд	Catégorie:Statut UICN Préoccupation mineure
Ангилал:Тажикистан	Catégorie:Tadjikistan
Ангилал:Мозамбикийн хүн	Catégorie:Personnalité mozambicaine
Ангилал:Венесуэлийн хүн	Catégorie:Personnalité vénézuélienne
Ангилал:Зүүн Тимор	Catégorie:Timor oriental
Ангилал:Исландын хүн	Catégorie:Personnalité islandaise
Ангилал:Уэльсчүүд	Catégorie:Personnalité galloise
Ангилал:Хойд Солонгосчууд	Catégorie:Personnalité nord-coréenne
Ангилал:Туркменистан	Catégorie:Turkménistan
Ангилал:Чиличүүд	Catégorie:Personnalité chilienne
Ангилал:Узбек орон	Catégorie:Ouzbékistan
Ангилал:Эмч нар	Catégorie:Médecin
Ангилал:Арабын Нэгдсэн Эмирт Улс	Catégorie:Émirats arabes unis
Ангилал:Шведийн эдийн засагчид	Catégorie:Économiste suédois
Ангилал:Сербийн сагсан бөмбөгчид	Catégorie:Joueur serbe de basket-ball
Ангилал:Канадын сагсан бөмбөгчид	Catégorie:Joueur canadien de basket-ball
Ангилал:Германы биатлончид	Catégorie:Biathlète allemand
Ангилал:Францын жүжигчид	Catégorie:Acteur français
Ангилал:Норвегийн цанын харайлтын тамирчид	Catégorie:Sauteur à ski norvégien
Ангилал:Финландын тамирчид	Catégorie:Sportif finlandais
Ангилал:Германы тэшүүрчид	Catégorie:Patineur de vitesse allemand
Ангилал:Ливийн хотууд	Catégorie:Ville de Libye
Ангилал:Угандын хөнгөн атлетикчид	Catégorie:Athlète ougandais
Ангилал:Беларусийн улс төрчид	Catégorie:Personnalité politique biélorusse
Ангилал:Австрийн улс төрч	Catégorie:Personnalité politique autrichienne
Ангилал:Британийн сэлүүрт завьчид	Catégorie:Rameur britannique (aviron)
Ангилал:Мексикийн хөлбөмбөгчид	Catégorie:Footballeur mexicain
Ангилал:Эстоны хөлбөмбөгчид	Catégorie:Footballeur estonien
Ангилал:Испанийн хүн	Catégorie:Personnalité espagnole
Ангилал:Колумбын хүн	Catégorie:Personnalité colombienne
Ангилал:Их Британийн эрдэмтэд	Catégorie:Scientifique britannique
Ангилал:Норвегийн цанын хоёр төрөлтийн тамирчид	Catégorie:Coureur norvégien du combiné nordique
Ангилал:Хятадын усанд үсрэгчид	Catégorie:Plongeuse chinoise
Ангилал:Их Монгол Улс	Catégorie:Empire mongol
Ангилал:Зөвлөлт Холбоот Улс	Catégorie:URSS
Ангилал:Эртний Ром	Catégorie:Rome antique
Ангилал:1986 оны хөлбөмбөгийн ДАШТ-д оролцсон багуудын бүрэлдэхүүний загварууд	Catégorie:Palette Coupe du monde de football 1986 par effectif
Ангилал:Бразилын хөлбөмбөгийн үндэсний шигшээ багийн загварууд	Catégorie:Palette Effectif équipe du Brésil de football
Ангилал:Гвиней-Биссаугийн хүн	Catégorie:Personnalité bissau-guinéenne
Ангилал:Японы цэргийн зүтгэлтэн	Catégorie:Militaire japonais
Ангилал:Хөлбөмбөгийн ДАШТ-д оролцсон багуудын бүрэлдэхүүний загварууд	Catégorie:Palette Coupe du monde de football par effectif
Ангилал:Геологийн загварууд	Catégorie:Modèle géologie
Ангилал:Японы уран гулгагч	Catégorie:Patineur artistique japonais
Ангилал:Францын уран гулгагчид	Catégorie:Patineur artistique français
Ангилал:Америкийн тэмцэгч	Catégorie:Militant américain
Ангилал:Олон хэлийг дэмжих загварууд	Catégorie:Modèle pour les langues
Ангилал:Зүүн Герман	Catégorie:République démocratique allemande
Ангилал:Сагсан бөмбөгийн загварууд	Catégorie:Modèle basket-ball
Ангилал:Инфобокс дайн	Catégorie:Modèle infobox militaire
Ангилал:Загвар доторх загварууд	Catégorie:Modèle de l'espace Modèle
Ангилал:2000 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	Catégorie:Championnat d'Europe de football 2000
Ангилал:Мьянмарын зохиолчид	Catégorie:Écrivain birman
Отто Портер	Otto Porter
Ангилал:Номын сан ба мэдээлэл зүй	Catégorie:Sciences de l'information et des bibliothèques
Ангилал:Агаар мандал	Catégorie:Atmosphère
Ангилал:Хонконгийн Хөрөнгийн Биржид бүртгэлтэй компаниуд	Catégorie:Société cotée au HKEX
Загвар:User de-4	Modèle:Utilisateur de-4
Ангилал:Хятадын компаниуд	Catégorie:Entreprise ayant son siège en Chine
Ангилал:Уэльс	Catégorie:Pays de Galles
Ангилал:Америкийн компаниуд	Catégorie:Entreprise ayant son siège aux États-Unis
Ангилал:Өмнөд Солонгосын компаниуд	Catégorie:Entreprise ayant son siège en Corée du Sud
Ангилал:Африкийн нуурууд	Catégorie:Lac d'Afrique
Ангилал:Кёнгийнхон	Catégorie:Naissance dans le Gyeonggi
Ангилал:Вакаяма аймгийн хүн	Catégorie:Naissance dans la préfecture de Wakayama
Ангилал:Бага гаригууд	Catégorie:Objet mineur
Ангилал:Чехословак	Catégorie:Tchécoslovaquie
Ангилал:Базель багийн тоглогчид	Catégorie:Joueur du FC Bâle
Ангилал:Реал Сосьедад багийн тоглогчид	Catégorie:Joueur de la Real Sociedad
Ангилал:Сампдориа багийн тоглогчид	Catégorie:Joueur de la Sampdoria Gênes
Ангилал:Сток Сити багийн тоглогчид	Catégorie:Joueur du Stoke City FC
Ангилал:Штутгарт багийн тоглогчид	Catégorie:Joueur du VfB Stuttgart
Загвар:Country data Wales	Modèle:Country data Pays de Galles
Ангилал:Бразилын олимпийн хүрэл медальтнууд	Catégorie:Médaillé de bronze olympique brésilien
Ангилал:Эвиан багийн тоглогчид	Catégorie:Joueur de l'Évian Thonon Gaillard FC
Ангилал:Куинз Парк Рейнжерс багийн тоглогчид	Catégorie:Joueur du Queens Park Rangers FC
Ангилал:Тив тивийн хүмүүс	Catégorie:Personnalité par continent
Загвар:Country data Papua New Guinea	Modèle:Country data Papouasie-Nouvelle-Guinée
Ангилал:Библи дэх түүхэн хүмүүс	Catégorie:Personnage biblique
Ангилал:Оюун ухаан судлал	Catégorie:Sciences cognitives
Ангилал:Туркийн ерөнхийлөгчид	Catégorie:Président de la Turquie
Ангилал:Кубын Ерөнхийлөгчид	Catégorie:Président de Cuba
Ангилал:Финландын ерөнхийлөгчид	Catégorie:Président de la Finlande
Ангилал:Францын Ерөнхийлөгчид	Catégorie:Président de la République française
Ангилал:АНУ-ын ерөнхийлөгчид	Catégorie:Président des États-Unis
Ангилал:Европын түүх	Catégorie:Histoire de l'Europe
Ангилал:Азийн түүх	Catégorie:Histoire de l'Asie
Ангилал:Нейрологи	Catégorie:Neurologie
Ангилал:Кирибати	Catégorie:Kiribati
Ангилал:Йордан	Catégorie:Jordanie
Ангилал:Самоа	Catégorie:Samoa
Ангилал:Коста-Рика	Catégorie:Costa Rica
Ангилал:Тринидад ба Тобаго	Catégorie:Trinité-et-Tobago
Ангилал:Суринам	Catégorie:Suriname
Ангилал:Никарагуа	Catégorie:Nicaragua
Ангилал:Босни ба Херцеговина	Catégorie:Bosnie-Herzégovine
Ангилал:Норвеги	Catégorie:Norvège
Ангилал:Барбадос	Catégorie:Barbade
Ангилал:Парагвай	Catégorie:Paraguay
Ангилал:Баруун Сахар	Catégorie:Sahara occidental
Ангилал:Маршаллын арлууд	Catégorie:Îles Marshall
Ангилал:Лихтенштейн	Catégorie:Liechtenstein
Ангилал:Соломоны арлууд	Catégorie:Salomon
Ангилал:Гондурас	Catégorie:Honduras
Ангилал:Уругвай	Catégorie:Uruguay
Ангилал:Андорра	Catégorie:Andorre
Ангилал:Серби	Catégorie:Serbie
Ангилал:Белиз	Catégorie:Belize
Ангилал:Гайти	Catégorie:Haïti
Ангилал:Эквадор	Catégorie:Équateur
Ангилал:Йемен	Catégorie:Yémen
Ангилал:Перу	Catégorie:Pérou
Ангилал:Тажик улсын хот	Catégorie:Ville du Tadjikistan
Ангилал:Тив тивийн улс орон	Catégorie:Pays par continent
Ангилал:Боливи	Catégorie:Bolivie
Ангилал:Албани	Catégorie:Albanie
Ангилал:Далайн орнууд	Catégorie:Pays d'Océanie
Ангилал:Монако	Catégorie:Monaco
Ангилал:Хойд Америкийн орнууд	Catégorie:Pays d'Amérique du Nord
Ангилал:Одон орны үзэгдлүүд	Catégorie:Événement astronomique
Ангилал:Суонси Сити багийн тоглогчид	Catégorie:Joueur du Swansea City AFC
Ангилал:Гранада багийн тоглогчид	Catégorie:Joueur du Grenade CF
Ангилал:Мал	Catégorie:Élevage
Ангилал:Кристал Пэлас багийн тоглогчид	Catégorie:Joueur du Crystal Palace FC
Ангилал:Ньюкасл Юнайтед багийн тоглогчид	Catégorie:Joueur du Newcastle United FC
Ангилал:ХристИтгэлт Теологи	Catégorie:Théologie chrétienne
Ангилал:Хүнсний ногоонууд	Catégorie:Légume
Ангилал:Цагаан идээ	Catégorie:Produit laitier
Ангилал:Жимснүүд	Catégorie:Fruit alimentaire
Ангилал:Хөлбөмбөгийн дасгалжуулагчид	Catégorie:Entraîneur de football
Ангилал:Эммигийн шагналтнууд	Catégorie:Lauréat de l'Emmy Award
Ангилал:Спортын дасгалжуулагчид	Catégorie:Entraîneur sportif
Ангилал:Атлетико Мадрид багийн тоглогчид	Catégorie:Joueur de l'Atlético de Madrid
Ангилал:Селтик багийн тоглогчид	Catégorie:Joueur du Celtic FC
Ангилал:Севилья багийн тоглогчид	Catégorie:Joueur du FC Séville
Ангилал:Порту ХБ-т тоглож байсан	Catégorie:Joueur du FC Porto
Ангилал:Америк хөлбөмбөгчид	Catégorie:Joueur de football américain
Ангилал:Нохойн үүлдрүүд	Catégorie:Race de chien
Ангилал:Азийн ургамлын аймаг	Catégorie:Flore en Asie
Ангилал:Намгархаг газар	Catégorie:Zone humide
Ангилал:Цөмийн физик	Catégorie:Physique nucléaire
Ангилал:Эгэл бөөмийн физик	Catégorie:Physique des particules
Ангилал:2010 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	Catégorie:Coupe du monde de football 2010
Ангилал:Хөлбөмбөгийн үндэсний шигшээ багууд	Catégorie:Équipe nationale de football
Ангилал:Канто муж	Catégorie:Kantō
Ангилал:2003 оны кинонууд	Catégorie:Film sorti en 2003
