আফ্রিকা	Afrique
বিষয়শ্রেণী:যুক্তরাষ্ট্রের বিশ্ববিদ্যালয়	Catégorie:Université américaine
বিষয়শ্রেণী:১৯২৬-এ জন্ম	Catégorie:Naissance en 1926
বিষয়শ্রেণী:প্যারামিটার অনুযায়ী ব্যক্তি বিষয়শ্রেণী	Catégorie:Personnalité par caractéristique
বিষয়শ্রেণী:১৯৫০-এ জন্ম	Catégorie:Naissance en 1950
বিষয়শ্রেণী:১৯৬৪-এ জন্ম	Catégorie:Naissance en 1964
বিষয়শ্রেণী:ভাষা আইকন টেমপ্লেট	Catégorie:Modèle d'icônes de langues
বিষয়শ্রেণী:২০১৫-এ মৃত্যু	Catégorie:Décès en 2015
বিষয়শ্রেণী:জার্মানির শহর	Catégorie:Ville d'Allemagne
বিষয়শ্রেণী:১৯৭৯-এ মৃত্যু	Catégorie:Décès en 1979
বিষয়শ্রেণী:২০০৫-এর অ্যালবাম	Catégorie:Album musical sorti en 2005
বিষয়শ্রেণী:২০১০-এ মৃত্যু	Catégorie:Décès en 2010
বিষয়শ্রেণী:আফ্রিকার ইতিহাস	Catégorie:Histoire de l'Afrique
বিষয়শ্রেণী:জলদস্যু	Catégorie:Pirate
বিষয়শ্রেণী:গ্র্যামি পুরস্কার বিজয়ী শিল্পী	Catégorie:Lauréat du Grammy Award
বিষয়শ্রেণী:গ্রুভ মেটাল মিউজিক্যাল গ্রুপ	Catégorie:Groupe de groove metal
বিষয়শ্রেণী:অবস্থান মানচিত্র টেমপ্লেট	Catégorie:Modèle de paramétrage de carte
বিষয়শ্রেণী:ভারত টেমপ্লেট	Catégorie:Modèle Inde
বিষয়শ্রেণী:ফরাসি চিত্রনাট্যকার	Catégorie:Scénariste français
বিষয়শ্রেণী:মানুষ এবং ব্যক্তি টেমপ্লেট	Catégorie:Modèle personne
বিষয়শ্রেণী:ক্রীড়া নির্বাহী ও প্রশাসক	Catégorie:Dirigeant sportif
বিষয়শ্রেণী:নামিবিয়ায় ক্রিকেট	Catégorie:Cricket en Namibie
বিষয়শ্রেণী:প্যারামাউন্ট পিকচার্সের চলচ্চিত্র	Catégorie:Film de Paramount Pictures
বিষয়শ্রেণী:সারের ক্রিকেটার	Catégorie:Joueur du Surrey County Cricket Club
বিষয়শ্রেণী:দেশ অনুযায়ী টেলিভিশন চ্যানেল	Catégorie:Chaîne de télévision par pays
বিষয়শ্রেণী:আর্জেন্টিনা জাতীয় ফুটবল দল ন্যাভ বক্স	Catégorie:Palette Effectif équipe d'Argentine de football
বিষয়শ্রেণী:ভারতের সামরিক বাহিনী	Catégorie:Forces armées de l'Inde
বিষয়শ্রেণী:জাতীয় ক্রিকেট দলের কোচ	Catégorie:Entraîneur d'équipe nationale de cricket
বিষয়শ্রেণী:ঢাকা বিশ্ববিদ্যালয়ের প্রাক্তন শিক্ষার্থী	Catégorie:Étudiant de l'université de Dacca
বিষয়শ্রেণী:মোজিলা	Catégorie:Mozilla
বিষয়শ্রেণী:মিডলসেক্সের ক্রিকেটার	Catégorie:Joueur du Middlesex County Cricket Club
টেমপ্লেট:ডাও জোনস ইন্ডাস্ট্রিয়াল অ্যাভারেজ কোম্পানিসমূহ	Modèle:Palette DJIA
বিষয়শ্রেণী:সরকারের রূপ	Catégorie:Type de gouvernement
বিষয়শ্রেণী:এক্স৮৬ মাইক্রোপ্রসেসর	Catégorie:Microprocesseur x86
বিষয়শ্রেণী:২০১৪-এ মৃত্যু	Catégorie:Décès en 2014
টেমপ্লেট:Nowrap begin	Modèle:Nowrap begin
বিষয়শ্রেণী:গ্রাফিক টেমপ্লেট	Catégorie:Modèle d'image
২০১৪ ফিফা বিশ্বকাপ গ্রুপ এ	Groupe A de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ সি	Groupe C de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ বি	Groupe B de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ ডি	Groupe D de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ এফ	Groupe F de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ ই	Groupe E de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ জি	Groupe G de la Coupe du monde de football 2014
২০১৪ ফিফা বিশ্বকাপ গ্রুপ এইচ	Groupe H de la Coupe du monde de football 2014
ঘটনা (সম্ভাবনা তত্ত্ব)	Événement (probabilités)
রঙের তালিকা	Liste de noms de couleur
টেমপ্লেট:ফিফা বহির্ভূত দলসমূহ	Modèle:Palette Équipes non-affiliées à la FIFA
টেমপ্লেট:লুয়া	Modèle:Modèle utilisant les modules Lua
টেমপ্লেট:Pre	Modèle:Pre
টেমপ্লেট:Extinct	Modèle:Éteint
ডলবেনস পার্ক	Döbelns park
টেমপ্লেট:পটাসিয়াম যৌগসমূহ	Modèle:Palette Composés du potassium
গ্রোন এল্ড, উমিয়া	Grön eld
টেমপ্লেট:দ্য বিটল্‌স	Modèle:Palette The Beatles
টেমপ্লেট:কাংজি বুশৌ	Modèle:Palette Radicaux chinois traditionnels
টেমপ্লেট:গোল্ডেন বয় পুরস্কার বিজয়ী	Modèle:Palette Trophée Golden Boy
টেমপ্লেট:ওএফসি দলসমূহ	Modèle:Palette Équipe nationale OFC
টেমপ্লেট:জাতিসংঘ মহাসচিব	Modèle:Palette Secrétaire général ONU
টেমপ্লেট:ইউরোপের জাতীয় সঙ্গীত	Modèle:Palette Hymnes nationaux d'Europe
টেমপ্লেট:কাজ চলছে	Modèle:En travaux
টেমপ্লেট:তথ্যছক চলচ্চিত্র উৎসব	Modèle:Infobox Cinéma (festival)
টেমপ্লেট:Infobox England county	Modèle:Infobox Comté d'Angleterre
প্রবেশদ্বার:কীটপতঙ্গ	Portail:Entomologie
টেমপ্লেট:Not Bangla	Modèle:Traduction incomplète
টেমপ্লেট:Bo	Modèle:Tibétain
মারিয়েমসাংআর্না	Mariehemsängarna
টেমপ্লেট:Inflation-fn	Modèle:Inflation-info
টেমপ্লেট:Inflation	Modèle:Inflation
টেমপ্লেট:ডেভোনিয়ান	Modèle:Dévonien
নোরা স্কেনেট	Norra skenet
টেমপ্লেট:LPR	Modèle:Dernière version avancée
টেমপ্লেট:Human regional anatomy	Modèle:Palette Corps humain
টেমপ্লেট:Location map Russia Ulyanovsk Oblast	Modèle:Géolocalisation/Oblast d'Oulianovsk
টেমপ্লেট:MacTutor	Modèle:MacTutor
টেমপ্লেট:মাইক্রোসফট অফিস	Modèle:Palette Microsoft Office
প্রবেশদ্বার:ভারত	Portail:Inde
প্রবেশদ্বার:চিকিৎসাবিদ্যা	Portail:Médecine
প্রবেশদ্বার:যুদ্ধ	Portail:Histoire militaire
উইকিপিডিয়া:কিভাবে অতিসাধারণ ভুল এড়াবেন	Aide:Travailler collectivement
উইকিপিডিয়া:মিডিয়া সাহায্য	Aide:Écouter des sons ogg
উইকিপিডিয়া:চিকিৎসা দাবিত্যাগ	Wikipédia:Mise en garde médicale
উইকিপিডিয়া:ছবি কপিরাইট ট্যাগ	Aide:Liste de modèles pour images
উইকিপিডিয়া:নির্বাচিত বার্ষিকী/জানুয়ারি	Wikipédia:Éphéméride/janvier
বিষয়শ্রেণী:প্রিমিয়ার লীগ	Catégorie:Championnat d'Angleterre de football
টেমপ্লেট:স্নায়ুযুদ্ধ	Modèle:Palette Guerre froide
স্খারিনস্কা ভিলান	Villa Scharinska
টেমপ্লেট:Infobox squash player	Modèle:Infobox Joueur de squash
টেমপ্লেট:Country flag IOC alias SUI	Modèle:DrapeauCIO-SUI
টেমপ্লেট:Country flag IOC alias NOR	Modèle:DrapeauCIO-NOR
টেমপ্লেট:অলিম্পিককাংস্যপদকতালিকা	Modèle:OlympicBronzeMedalist
টেমপ্লেট:অলিম্পিকস্বর্ণপদকতালিকা	Modèle:MédailleOrJO
টেমপ্লেট:অলিম্পিকরৌপ্যপদকতালিকা	Modèle:OlympicSilverMedalist
টেমপ্লেট:টাইম ম্যাগাজিনের বর্ষসেরা ব্যক্তিত্ব, ১৯৫১-১৯৭৫	Modèle:Palette Personnalité de l'année 1951-1975
উমিস্তান	Umestan
উমিয়া এনার্জি	Umeå Energi
উমিয়া টাউন হল	Hôtel de ville d'Umeå
উমিয়া বিশ্ববিদ্যালয় পাঠাগার	Bibliothèque universitaire d'Umeå
ইউনিভার্সাম (ভবন)	Universumhuset
ভন আনস্কা ম্যাগাসিনেট	Entrepôt von Ahnska
ভ্যানোর্টসপার্কেন, উমিয়া	Vänortsparken
টেমপ্লেট:রক সংগীত	Modèle:Palette Genres de rock
টেমপ্লেট:Hndis	Modèle:Personnes homonymes
টেমপ্লেট:ঋতু	Modèle:Palette Saison
যমুনা বহুমুখী সেতু	Pont Jamuna
বিষয়শ্রেণী:সামদিং দোর্জে ফাগমো	Catégorie:Samding Dorje Phagmo
টেমপ্লেট:Old City (Jerusalem)	Modèle:Palette Vieille ville de Jérusalem
টেমপ্লেট:যুক্তরাজ্যে বিশ্ব ঐতিহ্যবাহী স্থান	Modèle:Palette Patrimoine mondial au Royaume-Uni
টেমপ্লেট:টেকটোনিক পাত	Modèle:Palette Plaques tectoniques
টেমপ্লেট:ভারত দল ২০১১ ক্রিকেট বিশ্বকাপ	Modèle:Palette Inde Coupe du monde de cricket 2011
টেমপ্লেট:Country flag IOC alias SRI	Modèle:DrapeauCIO-SRI
টেমপ্লেট:Country flag IOC alias UGA	Modèle:DrapeauCIO-UGA
উইকিপিডিয়া:উইকিমত্ততা	Wikipédia:Wikipédiholisme
উইকিপিডিয়া:নির্বাচিত বার্ষিকী/মে	Wikipédia:Éphéméride/mai
টেমপ্লেট:পার্মিয়ান	Modèle:Permien 2
টেমপ্লেট:২০০০ গ্রীষ্মকালীন অলিম্পিকে দেশসমূহ	Modèle:Palette Délégations aux Jeux olympiques d'été de 2000
টেমপ্লেট:২০০৪ গ্রীষ্মকালীন অলিম্পিকে দেশসমূহ	Modèle:Palette Délégations aux Jeux olympiques d'été de 2004
টেমপ্লেট:ভারতের রাজনৈতিক দল	Modèle:Palette Partis politiques indiens
টেমপ্লেট:জাতীয় ক্রিকেট দলসমূহ	Modèle:Palette Équipes nationales de cricket
উইকিপিডিয়া:উইকিপ্রকল্প ইলেকট্রনিক্স	Projet:Électricité et électronique
টেমপ্লেট:Template test cases notice	Modèle:Sous-page de test
টেমপ্লেট:Frac	Modèle:Fraction
টেমপ্লেট:তথ্যছক আইন	Modèle:Infobox Norme juridique
টেমপ্লেট:Hex2dec	Modèle:Hex2dec
টেমপ্লেট:Ntsh	Modèle:Ntsh
টেমপ্লেট:Moon spacecraft	Modèle:Palette Sondes spatiales lunaires
টেমপ্লেট:অ্যাথলেটিক্স ক্রীড়াবিষয়	Modèle:Palette Épreuves d'athlétisme
টেমপ্লেট:Fdw-multi	Modèle:Avertissement suppression image
উইকিপিডিয়া:গ্যাজেট	Aide:Gadgets
বিশ্লেষণী সংখ্যাতত্ত্ব	Théorie analytique des nombres
টেমপ্লেট:S-hon	Modèle:S-hon
টেমপ্লেট:Country data আর্মেনীয় এসএসআর	Modèle:Country data RSS d'Arménie
টেমপ্লেট:Start date	Modèle:Date début
জেন্টেলম্যান	Gentleman (chanson de Psy)
উইকিপিডিয়া:উইকিপ্রকল্প হিন্দু ধর্ম	Projet:Hindouisme
টেমপ্লেট:S-civ	Modèle:S-civ
টেমপ্লেট:অন্তঃক্ষরা তন্ত্র	Modèle:Palette Hypophyse
টেমপ্লেট:Infobox U.S. state symbols	Modèle:Infobox Symboles des États-Unis
টেমপ্লেট:Country flag IOC alias TUR	Modèle:DrapeauCIO-TUR
টেমপ্লেট:Country flag IOC alias TUN	Modèle:DrapeauCIO-TUN
টেমপ্লেট:Country flag IOC alias VEN	Modèle:DrapeauCIO-VEN
টেমপ্লেট:Country flag IOC alias NZL	Modèle:DrapeauCIO-NZL
টেমপ্লেট:Country flag IOC alias SLO	Modèle:DrapeauCIO-SLO
টেমপ্লেট:এশিয়ার জাতীয় সঙ্গীত	Modèle:Palette Hymnes nationaux d'Asie
ছন্দোবিজ্ঞান	Prosodie
টেমপ্লেট:টাইম বর্ষসেরা ব্যক্তিগণ	Modèle:Palette Personnalité de l'année
টেমপ্লেট:Country flag IOC alias SEY	Modèle:DrapeauCIO-SEY
টেমপ্লেট:Country flag IOC alias MGL	Modèle:DrapeauCIO-MGL
টেমপ্লেট:Country flag IOC alias POR	Modèle:DrapeauCIO-POR
হাস্সান	Hassan
টেমপ্লেট:Country data মাদ্রিদ	Modèle:Country data Communauté de Madrid
টেমপ্লেট:Death category header	Modèle:Décès
টেমপ্লেট:Acad	Modèle:Alumni Cantabrigienses
টেমপ্লেট:ভারতের মধ্যবর্তী রাজাদের শাসন	Modèle:Palette Moyens empires indiens
টেমপ্লেট:জোনাথন ডেমি	Modèle:Palette Jonathan Demme
টেমপ্লেট:Uruguay Squad 1930 World Cup	Modèle:Palette Uruguay coupe du monde 1930
প্রবেশদ্বার:বাংলাদেশ	Portail:Bangladesh
টেমপ্লেট:কোপা লিবার্তাডোরেস শীর্ষ গোলদাতা	Modèle:Palette Meilleur buteur de la Copa Libertadores
উইকিপিডিয়া:বাংলা বানানের নিয়ম	Wikipédia:Orthographe
টেমপ্লেট:ভোলগা নদী	Modèle:Palette Affluents de la Volga
টেমপ্লেট:Begin flag row	Modèle:Début ligne drapeau
টেমপ্লেট:Isfdb name	Modèle:Isfdb nom
উইকিপিডিয়া:প্রায়শ জিজ্ঞাসিত প্রশ্ন/প্রশাসন	Aide:Administration
টেমপ্লেট:Structurae	Modèle:Structurae
উইকিপিডিয়া:উইকিপিডিয়ার ১০ বছর	Wikipédia:10e anniversaire de Wikipédia
টেমপ্লেট:YEARCC	Modèle:YEARCC
টেমপ্লেট:Subscription required	Modèle:Inscription nécessaire
টেমপ্লেট:Country flag IOC alias NGR	Modèle:DrapeauCIO-NGR
টেমপ্লেট:জাপানের ইলেকট্রনিক্স শিল্প	Modèle:Palette Entreprise d'électronique japonaise
টেমপ্লেট:ফিফা সভাপতি	Modèle:Palette Liste des présidents de la FIFA
টেমপ্লেট:ভারতের চলচ্চিত্র	Modèle:Palette Cinéma indien
টেমপ্লেট:ZodiacSign	Modèle:Infobox Signe du Zodiaque
টেমপ্লেট:End flag row	Modèle:Fin ligne drapeau
টেমপ্লেট:End flag gallery	Modèle:Fin galerie drapeau
টেমপ্লেট:ISOYEAR	Modèle:ISOYEAR
টেমপ্লেট:রাশিয়া দল ১৯৯৪ ফিফা বিশ্বকাপ	Modèle:Palette Russie coupe du monde 1994
টেমপ্লেট:Supranational European Bodies	Modèle:Organisations supranationales européennes
টেমপ্লেট:YEARYY	Modèle:YEARYY
টেমপ্লেট:উইকিপ্রকল্প পাদলেখ	Modèle:Pied de projet
টেমপ্লেট:Viral systemic diseases	Modèle:Palette Infections virales
টেমপ্লেট:MeSH name	Modèle:MeSH
টেমপ্লেট:এসিড এবং ক্ষারক	Modèle:Palette Acides et bases
টেমপ্লেট:Infobox architect	Modèle:Infobox Architecte
টেমপ্লেট:Mpm-	Modèle:LPM-
টেমপ্লেট:Infobox road	Modèle:Infobox Route
টেমপ্লেট:IPA-it	Modèle:API-it
টেমপ্লেট:Specialpageslist	Modèle:Palette Pages spéciales
টেমপ্লেট:European Council	Modèle:Palette Conseil européen
টেমপ্লেট:শ্রীলঙ্কার রাষ্ট্রপতি	Modèle:Palette Présidents du Sri Lanka
টেমপ্লেট:ম্যানচেস্টার সিটি ফুটবল ক্লাব স্কোয়াড	Modèle:Palette Effectif actuel du Manchester City FC
টেমপ্লেট:Country flag IOC alias ROU	Modèle:DrapeauCIO-ROU
টেমপ্লেট:ইন্টারনেট আর্কাইভ চলচ্চিত্র	Modèle:Internet Archive film
টেমপ্লেট:Infobox rail service	Modèle:Infobox Train de voyageurs baptisé
টেমপ্লেট:NEXTMONTH	Modèle:NEXTMONTH
টেমপ্লেট:উইকি সফটওয়্যার	Modèle:Palette Moteur de wiki
টেমপ্লেট:Infobox file format	Modèle:Infobox Format de données
টেমপ্লেট:বিলিয়নারিদের তালিকা	Modèle:Palette Listes des milliardaires du monde
টেমপ্লেট:Lead too long	Modèle:Résumé introductif trop long
টেমপ্লেট:Portuguese overseas empire	Modèle:Palette Empire colonial portugais
সিলভেস্টার	Sylvestre le chat
টেমপ্লেট:S-mil	Modèle:S-mil
কলম্বিয়ার সামরিক বাহিনী	Forces militaires de Colombie
টেমপ্লেট:ব্যবহারকারী/মুসলিম	Modèle:Utilisateur Religion/Musulman
টেমপ্লেট:জৈন ধর্ম	Modèle:Palette Jaïnisme
টেমপ্লেট:তথ্যছক লোক কাহিনী	Modèle:Infobox Conte populaire
টেমপ্লেট:আন্তর্জাতিক ক্রীড়া সংগঠন	Modèle:Palette Fédérations sportives internationales
উইকিপিডিয়া:সংস্করণ ১.০ সম্পাদকীয় দল	Projet:Wikipédia 1.0
টেমপ্লেট:NRDB family	Modèle:ReptileDB famille
টেমপ্লেট:Tennishof	Modèle:Profil ITHF
টেমপ্লেট:র্গ্যাল-বা-কার্মা-পা	Modèle:Palette Réincarnation Karmapa
টেমপ্লেট:সপ্তশৃঙ্গ	Modèle:Palette Sommets
মাথাপিছু জিডিপি (পিপিপি) এর ভিত্তিতে রাষ্ট্রসমূহের তালিকা	Liste des pays par PIB (PPA)
টেমপ্লেট:ব্যবহারকারী/ভারতীয়	Modèle:Utilisateur origine Inde
টেমপ্লেট:তথ্যছক যোগশাস্ত্র স্কুল	Modèle:Infobox École de Yoga
টেমপ্লেট:Mpm	Modèle:LPM
টেমপ্লেট:Country flag IOC alias VIN	Modèle:DrapeauCIO-VIN
উইকিপিডিয়া:প্রায়শ জিজ্ঞাসিত প্রশ্ন/অবদান	Aide:FAQ/participants
টেমপ্লেট:Data types	Modèle:Palette Types de données
টেমপ্লেট:Egyptian Dynasty list	Modèle:Palette Dynasties de l'Égypte antique
টেমপ্লেট:Divisor classes	Modèle:Palette Ensembles de divisibilité
টেমপ্লেট:Thank	Modèle:Merci
টেমপ্লেট:ফিফা বিশ্বকাপ সর্বোচ্চ গোলদাতা	Modèle:Palette Meilleur buteur de la coupe du monde de football
উইকিপিডিয়া:উৎকৃষ্ট নিবন্ধ লিখন	Aide:Comment rédiger un bon article
টেমপ্লেট:কান চলচ্চিত্র উৎসব	Modèle:Palette Festival de Cannes
টেমপ্লেট:Right	Modèle:Droite
টেমপ্লেট:উইকিপিডিয়া বই	Modèle:Livre Wikipédia
টেমপ্লেট:Footer Olympic Champions 200 m Individual Medley Men	Modèle:Palette Champions olympiques 200 m quatre nages hommes
টেমপ্লেট:Footer Olympic Champions 200 m Butterfly Women	Modèle:Palette Champions olympiques 200 m nage papillon femmes
টেমপ্লেট:WEEKDAYABBREV	Modèle:WEEKDAYABBREV
প্রবেশদ্বার:পশ্চিমবঙ্গ	Portail:Bengale-Occidental
টেমপ্লেট:Infobox motorsport venue	Modèle:Infobox Circuit automobile
মেগান ইয়াং	Megan Young
উইকিপিডিয়া:নির্বাচিত তালিকার গুণাবলী	Wikipédia:Listes de qualité/Règles
টেমপ্লেট:PDB2	Modèle:PDB2
টেমপ্লেট:সত্যজিৎ রায়	Modèle:Palette Satyajit Ray
টেমপ্লেট:পতাকাপ্রতিযোগী	Modèle:Flagathlete
টেমপ্লেট:এফসি বার্সেলোনা	Modèle:Palette FC Barcelone
টেমপ্লেট:Footer Olympic Champions 4x100 m Medley Relay Women	Modèle:Palette Champions olympiques relais 4x100 m 4 nages femmes
টেমপ্লেট:UN document	Modèle:UN document
টেমপ্লেট:অউব	Modèle:Palette Ufologie
টেমপ্লেট:জুরাসিক	Modèle:Jurassique
টেমপ্লেট:তাহিতি দল ২০১২ ওএফসি নেশন্স কাপ	Modèle:Palette Tahiti coupe d'Océanie des nations 2012
উইকিপিডিয়া:বিষয়বস্তু দাবিত্যাগ	Wikipédia:Mise en garde sur le contenu
প্রবেশদ্বার:পর্নোগ্রাফি	Portail:Pornographie
টেমপ্লেট:SourceForge	Modèle:Projet SourceForge
উইকিপিডিয়া:চাঘর	Wikipédia:Forum des nouveaux
টেমপ্লেট:Royal house	Modèle:Infobox Maison princière
টেমপ্লেট:ব্যবহারকারী জাভা-১	Modèle:Utilisateur java-1
টেমপ্লেট:তথ্যছক ব্যবহারকারী	Modèle:Infobox Utilisateur
টেমপ্লেট:পরিসংখ্যান সংক্রান্ত বলবিদ্যা	Modèle:Palette Physique statistique
টেমপ্লেট:Footer Olympic Champions 800 m Freestyle Women	Modèle:Palette Champions olympiques 800 m nage libre femmes
টেমপ্লেট:BMAD	Modèle:BMAD
টেমপ্লেট:S-dip	Modèle:S-dip
টেমপ্লেট:S-hou	Modèle:S-hou
টেমপ্লেট:Marvelwiki	Modèle:Marvelwiki
টেমপ্লেট:League of European Research Universities	Modèle:Palette Ligue européenne des universités de recherche
টেমপ্লেট:Uniprot	Modèle:UniProt
টেমপ্লেট:ইলেকট্রনিক গঠন পদ্ধতি	Modèle:Palette Calcul de la structure électronique
টেমপ্লেট:Footer Olympic Champions 100 m Freestyle Men	Modèle:Palette Champions olympiques 100 m nage libre hommes
টেমপ্লেট:France Squad 1958 World Cup	Modèle:Palette France coupe du monde 1958
টেমপ্লেট:র‍্যাম্বো	Modèle:Palette Rambo
টেমপ্লেট:Country flag IOC alias MNE	Modèle:DrapeauCIO-MNE
টেমপ্লেট:শ্রীলঙ্কা দল ১৯৯৬ ক্রিকেট বিশ্বকাপ	Modèle:Palette Sri Lanka coupe du monde de cricket 1996
টেমপ্লেট:User Featured Article	Modèle:Utilisateur Article de qualité
উইকিপিডিয়া:ভিজ্যুয়ালএডিটর	Wikipédia:ÉditeurVisuel
দেবদাস (উপন্যাস)	Devdas
প্রবেশদ্বার:কোম্পানি	Portail:Entreprises
টেমপ্লেট:S-non	Modèle:S-non
টেমপ্লেট:Country data আর্কান্‌স	Modèle:Country data Arkansas
শালীনতা	Pudeur
টেমপ্লেট:Infobox Chinese	Modèle:Infobox Sinogramme
প্রবেশদ্বার:সেতু	Portail:Ponts
টেমপ্লেট:Infobox Oil field	Modèle:Infobox Champ d'hydrocarbures
টেমপ্লেট:Infobox Province TR	Modèle:Infobox Province de Turquie
টেমপ্লেট:ওয়েস্ট ইন্ডিজ দল ২০১২ আইসিসি বিশ্ব টুয়েন্টি২০	Modèle:Palette Indes occidentales ICC World Twenty20 2012
ফিফা ১৪	FIFA 14
উইকিপিডিয়া:সমসাময়িক ঘটনাসমূহ পাতাটি যেভাবে কাজ করে	Aide:Fonctionnement de la page Actualités
প্রবেশদ্বার:বিশ্ববিদ্যালয়	Portail:Université
ভোর	Aube (temps)
উইকিপিডিয়া:বার্তা টেমপ্লেট/নিবন্ধের উৎস	Aide:Liste de modèles de sources
টেমপ্লেট:আফগানিস্তানের রাজনীতি	Modèle:PolitiqueAfghanistan
হিরোশি আমানো	Hiroshi Amano
টেমপ্লেট:Efn	Modèle:Efn
কেয়া	Kaitha
২০১৩-১৪ প্রিমিয়ার লীগ	Championnat d'Angleterre de football 2013-2014
টেমপ্লেট:জিঙ্ক যৌগসমূহ	Modèle:Palette Composés du zinc
জামরুল	Jamalac
ব্লু ইজ দ্য ওয়ার্মেস্ট কালার	La Vie d'Adèle : Chapitres 1 et 2
বিষয়শ্রেণী:রাতের ট্রেন	Catégorie:Train de nuit
টেমপ্লেট:ব্রাজিল দল ১৯৬৬ ফিফা বিশ্বকাপ	Modèle:Palette Brésil coupe du monde 1966
প্রবেশদ্বার:কবিতা	Portail:Poésie
টেমপ্লেট:MathGenealogy	Modèle:MathGenealogy
বিষয়শ্রেণী:অডিও টেমপ্লেট	Catégorie:Modèle audio
২০১৩ সাভার ভবন ধস	Effondrement du Rana Plaza
টেমপ্লেট:S-ppo	Modèle:S-ppo
টেমপ্লেট:Infobox education in country	Modèle:Infobox Système éducatif
এরিকা ফোন্তেস	Erica Fontes
টেমপ্লেট:সোভিয়েত গুপ্তচর	Modèle:Palette Espions soviétiques
প্রজাপতি	Rhopalocères
উইকিপিডিয়া:ভিজ্যুয়ালএডিটর/প্রতিক্রিয়া	Wikipédia:ÉditeurVisuel/Avis
নাখোদা মসজিদ	Mosquée de Nakhoda
সেলফি	Selfie
টেমপ্লেট:User-multi	Modèle:User-multi
উইকিপিডিয়া:পাতা ইম্পোর্টের অনুরোধ	Aide:Déplacement d'un article vers un autre projet
স্মৃতি	Nostalgie (sentiment)
টেমপ্লেট:55 Cancri	Modèle:Palette 55 Cancri
টেমপ্লেট:Time ago/core	Modèle:Time ago/core
সাহায্য:সূচী/নীতিমালা ও নির্দেশাবলী	Aide:Sommaire/Règles
উইকিপিডিয়া:নিবন্ধের মান নির্ণয়ের পরিকল্পনা	Modèle:Tableau d'évaluation avancement
টেমপ্লেট:Fatsandoils	Modèle:Palette Matière grasse alimentaire
টেমপ্লেট:১৯৯৪ ফিফা বিশ্বকাপ	Modèle:Palette Coupe du monde de la FIFA 1994
টেমপ্লেট:Politics of Canada	Modèle:PolitiqueCanada
আই-লিগ দ্বিতীয় ডিভিশন	Championnat d'Inde de football D2
বিষয়শ্রেণী:ক্রীড়ায় বছর	Catégorie:Sport par année
টেমপ্লেট:Voiced by	Modèle:Doublage
টেমপ্লেট:কমনওয়েলথ গেমস আয়োজনের বছর	Modèle:Palette Jeux du Commonwealth
শন পোলক	Shaun Pollock
টেমপ্লেট:সূর্য	Modèle:Infobox Soleil
টেমপ্লেট:Infobox badminton player	Modèle:Infobox Joueur de badminton
টেমপ্লেট:Infobox paranormal creature	Modèle:Infobox Créature
প্রবেশদ্বার:বলিউড	Portail:Bollywood
টেমপ্লেট:BirthDeathAge	Modèle:Naissance décès âge
টেমপ্লেট:Skyscraperpage	Modèle:SkyscraperPage
টেমপ্লেট:OCLC search link	Modèle:Recherche OCLC
টেমপ্লেট:তথ্যছক বিশ্ববিদ্যালয় আচার্য	Modèle:Infobox Président Université
টেমপ্লেট:IPA-nl	Modèle:API-nl
খলিল উল্লাহ খান	Khalil Ullah Khan
প্রাক্সিথেয়া (ওকেয়ানিদ)	Praxithée (naïade)
বেথুন কলেজ	Bethune College
মাকসুদুল আলম	Maqsudul Alam
টেমপ্লেট:তথ্যছক খুনি	Modèle:Infobox Tueur en série
টেমপ্লেট:Triple image	Modèle:Triple image
টেমপ্লেট:End	Modèle:Fin
টেমপ্লেট:NRDB species	Modèle:ReptileDB espèce
টেমপ্লেট:S-aca	Modèle:S-aca
টেমপ্লেট:S-bus	Modèle:S-bus
টেমপ্লেট:S-media	Modèle:S-media
টেমপ্লেট:S-sports	Modèle:S-sports
টেমপ্লেট:Sclass	Modèle:Classe
টেমপ্লেট:Discreet abbreviation	Modèle:Abréviation discrète
টেমপ্লেট:বিশেষ বর্ণ	Modèle:Unicode
টেমপ্লেট:Coord/dec2dms/dm1	Modèle:Coord/dec2dms/dm1
টেমপ্লেট:Var	Modèle:Var
বিষয়শ্রেণী:ফুটবল ভিডিও গেম	Catégorie:Jeu vidéo de football
টেমপ্লেট:Multi-listen item	Modèle:Multi-son item
উইকিপিডিয়া:Editnotice	Wikipédia:Notice d'édition
টেমপ্লেট:Circa	Modèle:Circa
টেমপ্লেট:Greek astronomy	Modèle:Palette Astronomes de la Grèce antique
২০১৩ ফিফা কনফেডারেশন্স কাপ দলের তালিকা	Effectif des équipes à la Coupe des confédérations 2013
বিষয়শ্রেণী:মানব চুল	Catégorie:Pilosité humaine
টেমপ্লেট:U.S. presidential call signs	Modèle:Palette Indicatifs d'appels pour les aéronefs des présidents et vice-présidents des États-Unis
টেমপ্লেট:জাম্বিয়ার রাষ্ট্রপতিগণ	Modèle:Palette Président Zambie
